机柜	节点	ip
s20	8.2	10.116.11.4
s20	9.1	10.116.11.5
s20	9.2	10.116.11.6
s20	10.1	10.116.11.7
s20	10.2	10.116.11.8
s20	11.1	10.116.11.9
s20	11.2	10.116.11.10
s20	12.1	10.116.11.11
s20	12.2	10.116.11.12
s20	13.1	10.116.11.13
s20	13.2	10.116.11.14
s20	14.1	10.116.11.15
s20	14.2	10.116.11.16
s20	15.1	10.116.11.17
s20	15.2	10.116.11.18
s20	16.1	10.116.11.19
s20	16.2	10.116.11.20
s20	17.1	10.116.11.21
s20	17.2	10.116.11.22
s20	18.1	10.116.11.23
s20	18.2	10.116.11.24
L14	1.2	10.116.11.25
L14	1.1	10.116.11.26
L14	2.2	10.116.11.27
L14	2.1	10.116.11.28
L14	3.1	10.116.11.29
L14	3.2	10.116.11.30
L14	4.1	10.116.11.31
L14	4.2	10.116.11.32
L14	5.2	10.116.11.33
L14	5.1	10.116.11.34
L14	6.1	10.116.11.35
L14	6.2	10.116.11.36
L14	7.2	10.116.11.37
L14	7.1	10.116.11.38
L14	8.1	10.116.11.39
L14	8.2	10.116.11.40
L14	9.2	10.116.11.41
L14	9.1	10.116.11.42
L14	10.1	10.116.11.43
L14	10.2	10.116.11.44
L14	11.1	10.116.11.45
L14	11.2	10.116.11.46
L14	12.2	10.116.11.47
L14	12.1	10.116.11.48
L14	13.1	10.116.11.49
L14	13.2	10.116.11.50
L14	14.1	10.116.11.51
L14	14.2	10.116.11.52
L14	15.1	10.116.11.53
L14	15.2	10.116.11.54
L14	16.1	10.116.11.55
L14	16.2	10.116.11.56
L14	17.1	10.116.11.57
L14	17.2	10.116.11.58
L14	18.1	10.116.11.59
L14	18.2	10.116.11.60
L14	19.1	10.116.11.61
L14	19.2	10.116.11.62
L14	20.1	10.116.11.63
L14	20.2	10.116.11.64
L15	1.1	10.116.11.65
L15	1.2	10.116.11.66
L15	2.2	10.116.11.67
L15	2.1	10.116.11.68
L15	3.1	10.116.11.69
L15	3.2	10.116.11.70
L15	4.1	10.116.11.71
L15	4.2	10.116.11.72
L15	5.1	10.116.11.73
L15	5.2	10.116.11.74
L15	6.1	10.116.11.75
L15	6.2	10.116.11.76
L15	7.1	10.116.11.77
L15	7.2	10.116.11.78
L15	8.1	10.116.11.79
L15	8.2	10.116.11.80
L15	9.1	10.116.11.81
L15	9.2	10.116.11.82
L15	10.1	10.116.11.83
L15	10.2	10.116.11.84
L15	11.1	10.116.11.85
L15	11.2	10.116.11.86
L15	12.2	10.116.11.87
L15	12.1	10.116.11.88
L15	13.2	10.116.11.89
L15	13.1	10.116.11.90
L15	14.1	10.116.11.91
L15	14.2	10.116.11.92
L15	15.1	10.116.11.93
L15	15.2	10.116.11.94
L15	16.1	10.116.11.95
L15	16.2	10.116.11.96
L15	17.1	10.116.11.97
L15	17.2	10.116.11.98
L15	18.2	10.116.11.99
L15	18.1	10.116.11.100
L15	19.1	10.116.11.101
L15	19.2	10.116.11.102
L15	20.1	10.116.11.103
L15	20.2	10.116.11.104
L16	1.2	10.116.11.105
L16	1.1	10.116.11.106
L16	2.1	10.116.11.107
L16	2.2	10.116.11.108
L16	3.1	10.116.11.109
L16	3.2	10.116.11.110
L16	4.2	10.116.11.111
L16	4.1	10.116.11.112
L16	5.2	10.116.11.113
L16	5.1	10.116.11.114
L16	6.1	10.116.11.115
L16	6.2	10.116.11.116
L16	7.1	10.116.11.117
L16	7.2	10.116.11.118
L16	8.1	10.116.11.119
L16	8.2	10.116.11.120
L16	9.1	10.116.11.121
L16	9.2	10.116.11.122
L16	10.1	10.116.11.123
L16	10.2	10.116.11.124
L16	11.2	10.116.11.125
L16	11.1	10.116.11.126
L16	12.2	10.116.11.127
L16	12.1	10.116.11.128
L16	13.1	10.116.11.129
L16	13.2	10.116.11.130
L16	14.1	10.116.11.131
L16	14.2	10.116.11.132
L16	15.1	10.116.11.133
L16	15.2	10.116.11.134
L16	16.1	10.116.11.135
L16	16.2	10.116.11.136
L16	17.1	10.116.11.137
L16	17.2	10.116.11.138
L16	18.1	10.116.11.139
L16	18.2	10.116.11.140
L16	19.1	10.116.11.141
L16	19.2	10.116.11.142
L16	20.1	10.116.11.143
L16	20.2	10.116.11.144
L17	1.1	10.116.11.145
L17	1.2	10.116.11.146
L17	2.1	10.116.11.147
L17	2.2	10.116.11.148
L17	3.2	10.116.11.149
L17	3.1	10.116.11.150
L17	4.2	10.116.11.151
L17	4.1	10.116.11.152
L17	5.1	10.116.11.153
L17	5.2	10.116.11.154
L17	6.1	10.116.11.155
L17	6.2	10.116.11.156
L17	7.1	10.116.11.157
L17	7.2	10.116.11.158
L17	8.1	10.116.11.159
L17	8.2	10.116.11.160
L17	9.1	10.116.11.161
L17	9.2	10.116.11.162
L17	10.1	10.116.11.163
